brand,processor,ram,video-card,memory,price
Asus,Intel Core i5,40,Intel UHD Graphics,1024,18599
Asus,Intel Core i5,16,Intel UHD Graphics,512,24009
Lenovo,AMD Ryzen 7,40,AMD Radeon Graphics,1024,19799
Lenovo,AMD Ryzen 7,16,AMD Radeon Graphics,1024,17649
Lenovo,Intel Core i5,32,Nvidia GeForce RTX™ 4060,512,37449
Lenovo,Intel Core i5,32,Nvidia GeForce RTX™ 4060,1024,38699
Lenovo,Intel Core i5,32,Nvidia GeForce RTX™ 4060,1024,38649
Lenovo,AMD Ryzen 7,24,AMD Radeon Graphics,1024,18599
Lenovo,AMD Ryzen 7,16,AMD Radeon Graphics,1024,17999
Asus,AMD Ryzen 7,16,Nvidia GeForce RTX™ 4050,512,36799
Asus,AMD Ryzen 7,16,Nvidia GeForce RTX™ 4060,512,42999
MSI,Intel Core i5,16,Nvidia GeForce RTX™ 4060,1024,56339
Lenovo,AMD Ryzen 7,16,AMD Radeon Graphics,512,16749
Asus,Intel Core i5,16,Nvidia GeForce RTX™ 5050,512,58729
Asus,Intel Core i7,8,Nvidia GeForce RTX™ 5050,512,64149
Asus,Intel Core i7,16,Nvidia GeForce RTX™ 5060,1024,68399
Asus,Intel Core i5,8,Nvidia GeForce RTX™ 3050,512,37259
Asus,Intel Core i7,12,Intel UHD Graphics,512,23999
MSI,Intel Core Ultra 7,32,Intel Arc Graphics,1024,47119
Asus,Intel Core i5,40,Nvidia GeForce RTX™ 4050,1024,41039
Asus,Intel Core i5,40,Nvidia GeForce RTX™ 4050,512,40089
Asus,Intel Core i5,24,Nvidia GeForce RTX™ 4050,1024,40089
Asus,Intel Core i5,16,Nvidia GeForce RTX™ 4050,1024,39569
Asus,Intel Core i5,24,Nvidia GeForce RTX™ 4050,512,39059
Asus,Intel Core i5,16,Nvidia GeForce RTX™ 4050,512,37739
Asus,Intel Core i5,8,Nvidia GeForce RTX™ 4050,512,36789
Asus,Intel Core i7,40,Intel UHD Graphics,512,25799
Asus,Intel Core i7,40,Intel UHD Graphics,1024,26399
Asus,Intel Core i7,16,Intel UHD Graphics,512,23899
Asus,Intel Core i7,16,Intel UHD Graphics,1024,24599
Asus,Intel Core i7,24,Intel UHD Graphics,1024,25549
Asus,Intel Core i7,24,Intel UHD Graphics,512,24499
Asus,AMD Ryzen 7,16,Nvidia GeForce RTX™ 4060,512,44999
GIGABYTE,Intel Core i7,32,Nvidia GeForce RTX™ 4050,1024,42409
Lenovo,Intel Core i5,24,Intel Iris Xe Graphics,512,29389
Lenovo,Intel Core i5,24,Intel Iris Xe Graphics,1024,30659
Lenovo,Intel Core i5,16,Intel Iris Xe Graphics,1024,31839
Lenovo,Intel Core i5,16,Intel Iris Xe Graphics,512,30419
Lenovo,Intel Core Ultra 7,16,Intel UHD Graphics,512,43749
Lenovo,Intel Core Ultra 5,16,Intel UHD Graphics,512,42449
Lenovo,Intel Core Ultra 5,16,Intel UHD Graphics,512,33899
Hp,AMD Ryzen 5,16,AMD Radeon Graphics,512,36559
Asus,Intel Core i5,40,Intel UHD Graphics,512,24479
Asus,Intel Core i5,24,Intel UHD Graphics,1024,16499
Asus,Intel Core i5,24,Intel UHD Graphics,512,15399
Asus,Intel Core i5,16,Intel UHD Graphics,1024,24009
Hp,Intel Core Ultra 5,8,Intel UHD Graphics,512,32029
Lenovo,Intel Core Ultra 5,16,Intel UHD Graphics,512,39499
Dell,Intel Core i7,16,Intel Iris Xe Graphics,512,40819
Dell,Intel Core i5,8,Intel Iris Xe Graphics,512,29719
Hp,Intel Core i5,40,Intel Iris Xe Graphics,1024,20399
Hp,Intel Core i5,40,Intel Iris Xe Graphics,512,19349
Hp,Intel Core i5,24,Intel Iris Xe Graphics,1024,19249
Hp,Intel Core i5,24,Intel Iris Xe Graphics,512,18249
Hp,Intel Core i5,16,Intel Iris Xe Graphics,1024,18699
Hp,AMD Ryzen 7,40,AMD Radeon Graphics,1024,20999
Hp,AMD Ryzen 7,24,AMD Radeon Graphics,1024,19499
Hp,Intel Core i7,40,Intel Iris Xe Graphics,1024,25649
Hp,Intel Core i7,40,Intel Iris Xe Graphics,512,24649
Hp,Intel Core i7,24,Intel Iris Xe Graphics,1024,23999
Hp,Intel Core i7,24,Intel Iris Xe Graphics,512,22999
Hp,Intel Core i7,16,Intel Iris Xe Graphics,1024,23449
Hp,Intel Core i7,16,Intel Iris Xe Graphics,512,22999
Hp,Intel Core i5,32,Intel Iris Xe Graphics,1024,19599
Hp,Intel Core i5,32,Intel Iris Xe Graphics,512,18599
Hp,Intel Core i5,24,Intel Iris Xe Graphics,1024,18999
Hp,Intel Core i5,24,Intel Iris Xe Graphics,512,17999
Hp,Intel Core i5,16,Intel Iris Xe Graphics,1024,18499
Hp,Intel Core i5,16,Intel Iris Xe Graphics,512,22759
Hp,Intel Core i5,48,Intel Iris Xe Graphics,512,25939
Hp,Intel Core i5,48,Intel Iris Xe Graphics,1024,25939
Hp,Intel Core i5,24,Intel Iris Xe Graphics,1024,19599
Hp,Intel Core i5,24,Intel Iris Xe Graphics,512,18599
Hp,Intel Core i5,32,Intel Iris Xe Graphics,1024,19999
Hp,Intel Core i5,32,Intel Iris Xe Graphics,512,19099
Hp,Intel Core i5,16,Intel Iris Xe Graphics,1024,18999
MSI,Intel Core i5,16,Nvidia GeForce RTX™ 3050,512,40509
Asus,Intel Core i5,8,Intel UHD Graphics,512,13599
Dell,Intel Core i5,32,Intel Iris Xe Graphics,1024,21789
Dell,Intel Core i5,32,Intel Iris Xe Graphics,512,20589
Dell,Intel Core i5,24,Intel Iris Xe Graphics,1024,21419
Dell,Intel Core i5,24,Intel Iris Xe Graphics,512,20079
Dell,Intel Core i5,16,Intel Iris Xe Graphics,1024,20689
Hp,AMD Ryzen 7,16,AMD Radeon Graphics,1024,18999
Hp,Intel Core i5,8,Intel Iris Xe Graphics,512,16999
Hp,Intel Core i5,16,Intel Iris Xe Graphics,512,17999
Lenovo,Intel Core i7,32,Nvidia GeForce RTX™ 4060,1024,62399
Lenovo,Intel Core i5,40,Intel Iris Xe Graphics,1024,22499
Lenovo,Intel Core i5,40,Intel Iris Xe Graphics,512,30139
Lenovo,Intel Core i5,24,Intel Iris Xe Graphics,1024,21349
Lenovo,Intel Core i5,24,Intel Iris Xe Graphics,512,20399
Lenovo,Intel Core i5,16,Intel Iris Xe Graphics,1024,29009
